title     ,image     ,description     ,price     
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 1TB HDD+128GB SSD FHD DOS Electric Blue,https://www.kivano.kg/images/product/115968/1673509466_76517600.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i3-1115G4; оперативная память 20GB DDR4; накопитель 1TB HDD+128GB SSD; видеокарта Intel; без операционной системы",36660 сом
Ноутбук HP Pavilion 15-eg2010nr Intel Core i5-1235U 8GB DDR 512GB SSD Intel UHD Graphics FHD W11 Silver,https://www.kivano.kg/images/product/117760/1677142882_75093200.jpeg,Тип: ноутбук; Операционная система: Windows 11; Процессор: Intel Core i5-1235U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel UHD Graphics; Объем оперативной памяти: 8 GB DDR; Объем накопителя SSD: 512 GB; Вес: от 1.7 кг,69940 сом
Ноутбук HP 255 G8 AMD Ryzen 5 5500U 12GB DDR4 1TB SSD FHD IPS DOS Gray,https://www.kivano.kg/images/product/118016/1677670933_81270800.jpg,"15.6"" IPS 1920x1080 дисплей; процессор AMD Ryzen 5 5500U; память 12GB DDR4/1TB SSD; видеокарта Radeon Graphics; операционная система DOS",45620 сом
Ноутбук Asus ROG Strix G513IM-US73 AMD Ryzen 7 4800H 8GB DDR4 1TB SSD NVIDIA RTX3060 FHD IPS DOS Eclipse Gray,https://www.kivano.kg/images/product/119296/1680081571_48043100.jpg,"15.6"" IPS 1920x1080 дисплей; процессор AMD Ryzen 7 4800H; память 8GB DDR4/1TB SSD; видеокарта NVIDIA RTX3060; операционная система DOS",104430 сом
Ноутбук Dell Vostro 3520 Intel Core i5-1235U 24GB DDR4 1TB HDD+512GB SSD NVMe NVIDIA MX550 FHD IPS Carbon Black,https://www.kivano.kg/images/product/122880/1687938994_57829000.jpg,"15.6"" IPS 1920x1080~60Hz; процессор Intel Core i5-1235U; оперативная память 24GB DDR4; накопитель 1TB HDD+512GB SSD NVMe; видеокарта NVIDIA MX550; без операционной системы",58840 сом
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 128GB SSD FHD DOS Electric Blue,https://www.kivano.kg/images/product/113153/1667385146_23636700.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i3-1115G4; оперативная память 4GB DDR4; накопитель 128GB SSD; видеокарта Intel; без операционной системы",30710 сом
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue,https://www.kivano.kg/images/product/115969/1673509559_80281600.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i3-1115G4; оперативная память 4GB DDR4; накопитель 1TB HDD+256GB SSD; видеокарта Intel; без операционной системы",33550 сом
Ноутбук HP 255 G8 AMD Ryzen 5 5500U 16GB DDR4 1TB SSD FHD IPS DOS Gray,https://www.kivano.kg/images/product/118017/1677671018_25870200.jpg,"15.6"" IPS 1920x1080 дисплей; процессор AMD Ryzen 5 5500U; память 16GB DDR4/1TB SSD; видеокарта Radeon Graphics; операционная система DOS",46710 сом
Ноутбук Asus ROG Strix G513IM-US73 AMD Ryzen 7 4800H 16GB DDR4 1TB SSD NVIDIA RTX3060 FHD IPS DOS Eclipse Gray,https://www.kivano.kg/images/product/119297/1680081665_20068400.jpg,"15.6"" IPS 1920x1080 дисплей; процессор AMD Ryzen 7 4800H; память 16GB DDR4/1TB SSD; видеокарта NVIDIA RTX3060; операционная система DOS",106250 сом
Ноутбук Dell Vostro 3520 Intel Core i5-1235U 32GB DDR4 1TB HDD+512GB SSD NVMe NVIDIA MX550 FHD IPS Carbon Black,https://www.kivano.kg/images/product/122881/1687939105_08071400.jpg,"15.6"" IPS 1920x1080~60Hz; процессор Intel Core i5-1235U; оперативная память 32GB DDR4; накопитель 1TB HDD+512GB SSD NVMe; видеокарта NVIDIA MX550; без операционной системы",60200 сом
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 128GB SSD FHD DOS Electric Blue,https://www.kivano.kg/images/product/113154/1667385214_08802400.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i3-1115G4; оперативная память 8GB DDR4; накопитель 128GB SSD; видеокарта Intel; без операционной системы",31910 сом
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue,https://www.kivano.kg/images/product/115970/1673509633_59658800.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i3-1115G4; оперативная память 8GB DDR4; накопитель 1TB HDD+256GB SSD; видеокарта Intel; без операционной системы",34750 сом
Ноутбук HP 255 G8 AMD Ryzen 5 5500U 24GB DDR4 1TB SSD FHD IPS DOS Gray,https://www.kivano.kg/images/product/118018/1677671094_26172900.jpg,"15.6"" IPS 1920x1080 дисплей; процессор AMD Ryzen 5 5500U; память 24GB DDR4/1TB SSD; видеокарта Radeon Graphics; операционная система DOS",48170 сом
Ноутбук Asus ROG Strix G513IM-US73 AMD Ryzen 7 4800H 24GB DDR4 1TB SSD NVIDIA RTX3060 FHD IPS DOS Eclipse Gray,https://www.kivano.kg/images/product/119298/1680081756_72129100.jpg,"15.6"" IPS 1920x1080 дисплей; процессор AMD Ryzen 7 4800H; память 24GB DDR4/1TB SSD; видеокарта NVIDIA RTX3060; операционная система DOS",108500 сом
Ноутбук Dell Vostro 3520 Intel Core i5-1235U 48GB DDR4 1TB HDD+512GB SSD NVMe NVIDIA MX550 FHD IPS Carbon Black,https://www.kivano.kg/images/product/122882/1687939290_83227600.jpg,"15.6"" IPS 1920x1080~60Hz; процессор Intel Core i5-1235U; оперативная память 48GB DDR4; накопитель 1TB HDD+512GB SSD NVMe; видеокарта NVIDIA MX550; без операционной системы",63840 сом
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 128GB SSD FHD DOS Electric Blue,https://www.kivano.kg/images/product/113155/1667385281_14197400.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i3-1115G4; оперативная память 12GB DDR4; накопитель 128GB SSD; видеокарта Intel; без операционной системы",32820 сом
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue,https://www.kivano.kg/images/product/115971/1673509703_18887300.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i3-1115G4; оперативная память 12GB DDR4; накопитель 1TB HDD+256GB SSD; видеокарта Intel; без операционной системы",35650 сом
Ноутбук HP 255 G8 AMD Ryzen 5 5500U 32GB DDR4 1TB SSD FHD IPS DOS Gray,https://www.kivano.kg/images/product/118019/1677671183_53214600.jpg,"15.6"" IPS 1920x1080 дисплей; процессор AMD Ryzen 5 5500U; память 32GB DDR4/1TB SSD; видеокарта Radeon Graphics; операционная система DOS",50180 сом
Ноутбук Asus ROG Strix G513IM-US73 AMD Ryzen 7 4800H 32GB DDR4 1TB SSD NVIDIA RTX3060 FHD IPS DOS Eclipse Gray,https://www.kivano.kg/images/product/119299/1680081853_07718700.jpg,"15.6"" IPS 1920x1080 дисплей; процессор AMD Ryzen 7 4800H; память 32GB DDR4/1TB SSD; видеокарта NVIDIA RTX3060; операционная система DOS",111220 сом
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 128GB SSD FHD DOS Electric Blue,https://www.kivano.kg/images/product/113156/1667385363_05217200.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i3-1115G4; оперативная память 20GB DDR4; накопитель 128GB SSD; видеокарта Intel; без операционной системы",34460 сом
Ноутбук Asus X515FA-EJ186W Intel Core i3-10110U 4GB DDR4 1TB HDD FHD W11 Silver,https://www.kivano.kg/images/product/114436/1669369705_65745700.jpg,"экран 15.6"" 1920х1080 TN~60Hz; процессор Intel Core i3-10110U (2/4) 2100-4100 МГц; память 4GB DDR4; накопитель 1TB HDD; видео Intel Graphics; клавиатура EN-RU; Windows 11",30800 сом
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 20GB DDR4 1TB HDD+256GB SSD FHD DOS Electric Blue,https://www.kivano.kg/images/product/115972/1673509774_07860600.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i3-1115G4; оперативная память 20GB DDR4; накопитель 1TB HDD+256GB SSD; видеокарта Intel; без операционной системы",37480 сом
Ноутбук Asus ROG Strix G513IM-US73 AMD Ryzen 7 4800H 48GB DDR4 1TB SSD NVIDIA RTX3060 FHD IPS DOS Eclipse Gray,https://www.kivano.kg/images/product/119300/1680081939_46072400.jpg,"15.6"" IPS 1920x1080 дисплей; процессор AMD Ryzen 7 4800H; память 48GB DDR4/1TB SSD; видеокарта NVIDIA RTX3060; операционная система DOS",115750 сом
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 256GB SSD FHD DOS Electric Blue,https://www.kivano.kg/images/product/113157/1667385655_07413500.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i3-1115G4; оперативная память 4GB DDR4; накопитель 256GB SSD; видеокарта Intel; без операционной системы",31440 сом
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 4GB DDR4 1TB HDD+512GB SSD FHD DOS Electric Blue,https://www.kivano.kg/images/product/115973/1673509892_06228000.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i3-1115G4; оперативная память 4GB DDR4; накопитель 1TB HDD+512GB SSD; видеокарта Intel; без операционной системы",35100 сом
Ноутбук Asus ROG Strix G513IM-US73 AMD Ryzen 7 4800H 64GB DDR4 1TB SSD NVIDIA RTX3060 FHD IPS DOS Eclipse Gray,https://www.kivano.kg/images/product/119301/1680082028_14256700.jpg,"15.6"" IPS 1920x1080 дисплей; процессор AMD Ryzen 7 4800H; память 64GB DDR4/1TB SSD; видеокарта NVIDIA RTX3060; операционная система DOS",120280 сом
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 8GB DDR4 256GB SSD FHD DOS Electric Blue,https://www.kivano.kg/images/product/113158/1667385727_51539800.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i3-1115G4; оперативная память 8GB DDR4; накопитель 256GB SSD; видеокарта Intel; без операционной системы",32630 сом
Ноутбук Asus ROG Strix G513IM-US73 AMD Ryzen 7 4800H 8GB DDR4 1TB SSD+256GB SSD NVIDIA RTX3060 FHD IPS DOS Eclipse Gray,https://www.kivano.kg/images/product/119302/1680082207_09215800.jpg,"15.6"" IPS 1920x1080 дисплей; процессор AMD Ryzen 7 4800H; память 8GB DDR4/1TB SSD+256GB SSD; видеокарта NVIDIA RTX3060; операционная система DOS",107140 сом
Ноутбук Gigabyte G5 Intel Core i5-12500H 8GB DDR4 512GB SSD Nvidia RTX4060 8GB FHD W11 Black,https://www.kivano.kg/images/product/119814/1680771413_33500300.jpg,"Диагональ экрана: 15.6"" 1920x1080; Операционная система: Windows 11; Процессор: Intel Core i5-12500H (12/16) 1800-4500 MHz; Объем памяти: 8GB DDR4 / 512GB SDD; Видеоконтроллер: NVIDIA RTX 4060 8GB; Вес: от 1.99 кг",132400 сом
Ноутбук Acer Aspire A315-58-37M9 Intel Core i3-1115G4 12GB DDR4 256GB SSD FHD DOS Electric Blue,https://www.kivano.kg/images/product/113159/1667385795_80517300.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i3-1115G4; оперативная память 12GB DDR4; накопитель 256GB SSD; видеокарта Intel; без операционной системы",33550 сом
