title,price,description,mileage,image
"Subaru Forester 3 поколение Кроссовер , 2008",12500$ ,"Кроссовер, 2.5 л., левый руль, бензин, автомат,",166000 км,https://i.cars.kg/preview/r/6shodA4yz5gHDoW_AoYeSg/1080x-/20230704/d4eb0c37fc5ec61da5723d635bd382d3.jpeg
"Lexus RX 1 поколение Кроссовер , 2002",10000$ ,"Кроссовер, черный, 3 л., левый руль, бензин, автомат, передний,",169000 км,https://i.cars.kg/preview/r/ThUGSq3zxYmkVKCkuwLczw/1080x-/20230702/e7f96375bd23c5ee419857c03495f5d5.jpg
"Hyundai Avante J3 [рестайлинг] Седан , 1998",3431$ ,"Седан, бежевый, 1.5 л., левый руль, бензин, автомат, передний,",600000 км,https://i.cars.kg/preview/r/rcoU4MPmdkuyPdjyqNCnlQ/1080x-/20230705/49144d66da878fd745f856f4b49a9ccb.jpg
"Infiniti M-Series Y50 M35 седан , 2007",8$ ,"Седан, темно-синий, левый руль, газ-бензин, автомат,",,https://i.cars.kg/preview/r/Cie08UyBIxJSbK9yZrqtqw/1080x-/20230703/f581976f361e231a50de649ba59f8e28.jpg
"Toyota Corolla Verso 2 поколение Verso минивэн , 2003",5718$ ,"Хэтчбек, золотой, 1.6 л., левый руль, бензин, механика, передний,",380000 км,https://i.cars.kg/preview/r/eWN37eDUbmCXFGjkwu94NQ/1080x-/20230625/eae3e58cfb272d7a8157381f1cd7ecb1.jpg
"Mercedes-Benz E-Класс W211/S211 Седан , 2002",8500$ ,"Седан, черный, 3.2 л., левый руль, бензин, автомат, задний,",73000 км,https://i.cars.kg/preview/r/kUJm3mcNFoBElL1K9Czl8A/1080x-/20230629/ed8cdfbc64ceb19f4dccd00c1bf8985d.jpg
"Toyota Land Cruiser J200 [рестайлинг] 200 внедорожник , 2013",46500$ ,"Внедорожник / Пикап, черный, 4.6 л., левый руль, бензин, автомат, постоянный полный,",186000 км,https://i.cars.kg/preview/r/2FAErjJ2eIavyhOgZpb-5w/1080x-/20230624/94e5a73db594d21c4e550473712c071e.jpeg
"Lexus RX 2 поколение [рестайлинг] Кроссовер , 2007",15700$ ,"Кроссовер, черный, 3.5 л., левый руль, бензин, автомат, постоянный полный,",198000 км,https://i.cars.kg/preview/r/O9QHCvc_35C-4XHEeJu8SQ/1080x-/20230624/8ed303335881581c2f49e4a190934557.jpeg
"Kia Rio 1 поколение Универсал , 2001",2516$ ,"Универсал, синий, 1.5 л., левый руль, бензин, механика, передний,",255000 км,https://i.cars.kg/preview/r/wz8IbQbSR5FTWkoSrVM_Ig/1080x-/20230704/5d5efff082abffefa5f619856e1e79e8.jpg
"Toyota Yaris P1 Хетчбэк 5-дв. , 2003",5604$ ,"Хэтчбек, синий, 1 л., левый руль, бензин, автомат, передний,",,https://i.cars.kg/preview/r/3_icemr3b7DsPg9iQI1o9A/1080x-/20230702/e4539d0089e03425e4c3ec5c162f6496.jpeg
"Mazda Cronos 1 поколение Седан , 1992",2287$ ,"Седан, 2 л., левый руль, бензин, механика, постоянный полный,",500000 км,https://i.cars.kg/preview/r/OPpZNBZ38BP1tsmr5D5J-A/1080x-/20230704/11cb7b30e6c23b668b170fc40833e245.jpg
"Hyundai Tucson 3 поколение Кроссовер , 2016",24000$ ,"Кроссовер, синий, 2.0 л., левый руль, бензин, автомат, передний,",148000 км,https://i.cars.kg/preview/r/7rgFMHsApEcKFSZ-XM3RUg/1080x-/20230703/060420b6191980c327368fc594f3b6bc.jpeg
"ВАЗ (Lada) 4x4 1 поколение [рестайлинг] 21213 внедорожник 3-дв. , 2004",3202$ ,"Внедорожник / Пикап, белый, 1.7 л., левый руль, бензин, механика, полный подключаемый,",151000 км,https://i.cars.kg/preview/r/byD1FcWHIoyee84Y6Q9M_w/1080x-/20230703/5193fb76a6265f18f9dd6151cfce766f.jpg
"Mercedes-Benz E-Класс W211/S211 Седан , 2003",7500$ ,"Седан, серебряный, 2.6 л., левый руль, бензин, автомат, задний,",1 км,https://i.cars.kg/preview/r/RNcn3N0lDlInyOxwrocwdw/1080x-/20230705/32092b35843fa04788dbc2c8ed9fcab5.jpg
"Toyota Camry XV40 [рестайлинг] Седан 4-дв. , 2009",12000$ ,"Седан, серебряный, 2.5 л., левый руль, бензин, автомат, передний,",,https://i.cars.kg/preview/r/eNnK7ZEdYW41STIisf1o_g/1080x-/20230705/c43c7775caac6a06ed3ddf4eeb72e151.jpg
"Volkswagen , 2022",34$ ,"Внедорожник / Пикап,",,https://i.cars.kg/preview/r/gXL4HMAbdmYUvOCpfuJ0gQ/1080x-/20230705/e2855e69f00ba7d4c224259b8df095a7.jpg
"Audi A6 4B/C5 Седан , 1998",350000$ ,"Седан, серебряный, 2.4 л., бензин, механика, передний,",314000 км,https://i.cars.kg/preview/r/DVt8AXZuJHX8QdyUkC6dog/1080x-/20230705/8817df82fe9cdfa33ecfef1ff7743bec.jpg
"Nissan Primera P11 [рестайлинг] , 2001",4117$ ,"Седан, серебряный, 2 л., левый руль, бензин, автомат,",,https://i.cars.kg/preview/r/E0T682y0ohuC0AB_yYJl2A/1080x-/20230705/b208cd9417f16c2442943a4bd4af0215.jpg
"Honda CR-V , 2009",14900$ ,"Кроссовер, коричневый, 2.4 л., левый руль, бензин, автомат, полный подключаемый,",114687 км,https://i.cars.kg/preview/r/Z2lcK56T16Oa8XxehQMsvw/1080x-/20230705/ea91b2e8ea8268342fa67e781dd3a840.jpg
"Geely Monjaro, 2023",38000$ ,"Кроссовер, синий, 2 л., левый руль, бензин, автомат, постоянный полный,",10 км,https://i.cars.kg/preview/r/-kEC0L0MS047K7qx6zHulg/1080x-/20230705/0420a720745e8a4c953df2272e4dbf59.jpg













