title,price,description,mileage,image
"Nissan Primera P12 Универсал , 2004",5211$ ,"Универсал, серый, 1.8 л., левый руль, бензин, механика, передний,",268000 км,https://i.cars.kg/preview/r/C-3ZKGMrml0GyvN8jljmTw/1080x-/20230701/79a76c77ec31a506bb0c5190ce5cfaf6.jpeg
"Kia K7 1 поколение [рестайлинг] Седан , 2016",16300$ ,"Седан, черный, 3.0 л., левый руль, газ, автомат, передний,",2000 км,https://i.cars.kg/preview/r/Dtw8jPMG-mWX-LiwYpp-SQ/1080x-/20230614/f893318c4f2ae52f5ccb7e1999224fb8.jpeg
"Nissan X-Trail T30 Кроссовер , 2001",6800$ ,"Кроссовер, серебряный, 2 л., правый руль, бензин, автомат,",256000 км,https://i.cars.kg/preview/r/1Gt5VnO5dhaY3wOEM3E15A/1080x-/20230630/a2745bdbbec07c13d8629218cc3dc8f0.jpg
"Hyundai Sonata YF Седан 4-дв. , 2016",13800$ ,"Седан, белый жемчуг, 2 л., левый руль, газ, автомат, передний,",174000 км,https://i.cars.kg/preview/r/p_2aRNS1W_LyLUzyFrP_lA/1080x-/20230626/4b6e5b65a568bdaf8bda522648719346.jpg
"Infiniti M-Series Y50 M35 седан , 2007",8500$ ,"Седан, темно-синий, левый руль, газ-бензин,",,https://i.cars.kg/preview/r/Cie08UyBIxJSbK9yZrqtqw/1080x-/20230703/f581976f361e231a50de649ba59f8e28.jpg
"Geely GEELY MONJARO 2.0TD 4WD FLAGSHIP 2023, 2023",34000$ ,"Кроссовер, бирюзовый, 2 л., левый руль, бензин, автомат, постоянный полный,",,https://i.cars.kg/preview/r/TMr4bX6xoT_MhW805SVCEA/1080x-/20230627/5f72df4aa3e81d1875a88a50de36f0ed.jpg
"Changan , 2023",37000$ ,"Внедорожник / Пикап, белый, 2 л., левый руль, бензин, автомат, постоянный полный,",,https://i.cars.kg/preview/r/T8YUlzLo8JhQrms_B5GR2Q/1080x-/20230702/8da51c1dc209ce36d08ca5ae73e745e2.jpg
"Toyota Camry , 2023",38500$ ,"Седан, черный, левый руль, бензин, автомат, передний,",,https://i.cars.kg/preview/r/RnqYAtQ_s6_-pWl26EHeGw/1080x-/20230702/59e9ffd95c2cdc43a9d5e8e9f6672ab3.jpg
"Hyundai Tucson , 2017",26000$ ,"Кроссовер, белый, 2.0 л., левый руль, дизель, автомат, передний,",75800 км,https://i.cars.kg/preview/r/7dBz81WR5D95dbM3OA_PkA/1080x-/20230702/316e906c1f82b890056d93276b424cda.jpeg
"Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2019",38000$ ,"Кроссовер, черный, 2.5 л., левый руль, бензин, автомат, полный подключаемый,",125000 км,https://i.cars.kg/preview/r/Fk6_V2vjaMkzKrVI01VJRg/1080x-/20230614/b4a1ba113a1fa9da8940280620dae3de.jpg
